frequency;V(/Sc1-) (phase);V(/Sc1-) (gain);V(/Sc2-) (phase);V(/Sc2-) (gain);
1.45378;-0.000429601;-13.9602;-0.000507702;0.000730883;
1.49624;-0.000442146;-13.9602;-0.000522527;0.000730883;
1.53993;-0.000455057;-13.9602;-0.000537785;0.000730882;
1.58489;-0.000468345;-13.9602;-0.000553488;0.000730882;
1.63117;-0.000482021;-13.9602;-0.00056965;0.000730881;
1.6788;-0.000496096;-13.9602;-0.000586285;0.00073088;
1.72783;-0.000510582;-13.9602;-0.000603404;0.00073088;
1.77828;-0.000525491;-13.9602;-0.000621024;0.000730879;
1.83021;-0.000540836;-13.9602;-0.000639158;0.000730878;
1.88365;-0.000556629;-13.9602;-0.000657822;0.000730878;
1.93865;-0.000572882;-13.9602;-0.000677031;0.000730877;
1.99526;-0.000589611;-13.9602;-0.0006968;0.000730876;
2.05353;-0.000606828;-13.9602;-0.000717147;0.000730875;
2.11349;-0.000624547;-13.9602;-0.000738088;0.000730874;
2.1752;-0.000642784;-13.9602;-0.000759641;0.000730873;
2.23872;-0.000661554;-13.9602;-0.000781823;0.000730872;
2.30409;-0.000680872;-13.9602;-0.000804652;0.000730871;
2.37137;-0.000700754;-13.9602;-0.000828148;0.00073087;
2.44062;-0.000721216;-13.9602;-0.000852331;0.000730869;
2.51189;-0.000742276;-13.9602;-0.000877219;0.000730867;
2.58523;-0.000763951;-13.9602;-0.000902834;0.000730866;
2.66073;-0.000786258;-13.9602;-0.000929197;0.000730864;
2.73842;-0.000809217;-13.9602;-0.00095633;0.000730863;
2.81838;-0.000832847;-13.9602;-0.000984256;0.000730861;
2.90068;-0.000857166;-13.9602;-0.001013;0.000730859;
2.98538;-0.000882196;-13.9602;-0.00104258;0.000730857;
3.07256;-0.000907957;-13.9602;-0.00107302;0.000730855;
3.16228;-0.000934469;-13.9602;-0.00110435;0.000730853;
3.25462;-0.000961756;-13.9602;-0.0011366;0.000730851;
3.34965;-0.00098984;-13.9602;-0.00116979;0.000730849;
3.44747;-0.00101874;-13.9602;-0.00120395;0.000730846;
3.54813;-0.00104849;-13.9602;-0.0012391;0.000730843;
3.65174;-0.00107911;-13.9602;-0.00127529;0.000730841;
3.75837;-0.00111062;-13.9602;-0.00131252;0.000730838;
3.86812;-0.00114305;-13.9602;-0.00135085;0.000730834;
3.98107;-0.00117643;-13.9602;-0.0013903;0.000730831;
4.09732;-0.00121078;-13.9602;-0.00143089;0.000730827;
4.21697;-0.00124613;-13.9602;-0.00147268;0.000730824;
4.3401;-0.00128252;-13.9602;-0.00151568;0.00073082;
4.46684;-0.00131997;-13.9602;-0.00155994;0.000730815;
4.59727;-0.00135851;-13.9602;-0.00160549;0.000730811;
4.73151;-0.00139818;-13.9602;-0.00165237;0.000730806;
4.86968;-0.00143901;-13.9602;-0.00170062;0.000730801;
5.01187;-0.00148103;-13.9602;-0.00175027;0.000730796;
5.15822;-0.00152428;-13.9602;-0.00180138;0.00073079;
5.30884;-0.00156879;-13.9602;-0.00185398;0.000730784;
5.46387;-0.00161459;-13.9602;-0.00190812;0.000730778;
5.62341;-0.00166174;-13.9602;-0.00196384;0.000730771;
5.78762;-0.00171026;-13.9602;-0.00202118;0.000730764;
5.95662;-0.0017602;-13.9602;-0.0020802;0.000730756;
6.13056;-0.0018116;-13.9602;-0.00214094;0.000730748;
6.30957;-0.0018645;-13.9602;-0.00220346;0.00073074;
6.49382;-0.00191895;-13.9602;-0.0022678;0.000730731;
6.68344;-0.00197498;-13.9602;-0.00233402;0.000730722;
6.8786;-0.00203265;-13.9602;-0.00240217;0.000730711;
7.07946;-0.002092;-13.9602;-0.00247231;0.000730701;
7.28618;-0.00215309;-13.9602;-0.00254451;0.00073069;
7.49894;-0.00221596;-13.9602;-0.0026188;0.000730678;
7.71792;-0.00228066;-13.9602;-0.00269527;0.000730665;
7.94328;-0.00234726;-13.9602;-0.00277397;0.000730652;
8.17523;-0.0024158;-13.9602;-0.00285497;0.000730637;
8.41395;-0.00248634;-13.9602;-0.00293834;0.000730622;
8.65964;-0.00255894;-13.9602;-0.00302413;0.000730606;
8.91251;-0.00263366;-13.9602;-0.00311244;0.00073059;
9.17276;-0.00271056;-13.9602;-0.00320332;0.000730572;
9.44061;-0.00278971;-13.9602;-0.00329685;0.000730553;
9.71628;-0.00287117;-13.9602;-0.00339312;0.000730533;
10;-0.00295501;-13.9602;-0.0034922;0.000730512;
10.292;-0.00304129;-13.9602;-0.00359416;0.000730489;
10.5925;-0.0031301;-13.9602;-0.00369911;0.000730465;
10.9018;-0.00322149;-13.9602;-0.00380712;0.00073044;
11.2202;-0.00331556;-13.9602;-0.00391828;0.000730413;
11.5478;-0.00341237;-13.9602;-0.00403269;0.000730385;
11.885;-0.00351201;-13.9602;-0.00415044;0.000730355;
12.2321;-0.00361456;-13.9602;-0.00427163;0.000730323;
12.5893;-0.0037201;-13.9602;-0.00439635;0.00073029;
12.9569;-0.00382872;-13.9602;-0.00452472;0.000730254;
13.3352;-0.00394051;-13.9602;-0.00465683;0.000730217;
13.7246;-0.00405557;-13.9602;-0.0047928;0.000730177;
14.1254;-0.00417399;-13.9602;-0.00493274;0.000730134;
14.5378;-0.00429586;-13.9602;-0.00507677;0.00073009;
14.9624;-0.0044213;-13.9602;-0.005225;0.000730042;
15.3993;-0.00455039;-13.9602;-0.00537755;0.000729992;
15.8489;-0.00468325;-13.9602;-0.00553456;0.000729939;
16.3117;-0.00481999;-13.9602;-0.00569615;0.000729883;
16.788;-0.00496073;-13.9602;-0.00586246;0.000729823;
17.2783;-0.00510557;-13.9602;-0.00603363;0.00072976;
17.7828;-0.00525464;-13.9602;-0.00620979;0.000729693;
18.3021;-0.00540806;-13.9602;-0.00639109;0.000729623;
18.8365;-0.00556596;-13.9602;-0.00657768;0.000729548;
19.3865;-0.00572847;-13.9602;-0.00676972;0.000729469;
19.9526;-0.00589572;-13.9602;-0.00696736;0.000729385;
20.5353;-0.00606786;-13.9602;-0.00717077;0.000729296;
21.1349;-0.00624502;-13.9602;-0.00738012;0.000729202;
21.752;-0.00642735;-13.9602;-0.00759558;0.000729102;
22.3872;-0.006615;-13.9602;-0.00781732;0.000728997;
23.0409;-0.00680813;-13.9602;-0.00804554;0.000728885;
23.7137;-0.00700689;-13.9602;-0.00828041;0.000728767;
24.4062;-0.00721146;-13.9602;-0.00852213;0.000728642;
25.1189;-0.00742199;-13.9602;-0.00877091;0.000728509;
25.8523;-0.00763867;-13.9602;-0.00902695;0.000728369;
26.6073;-0.00786167;-13.9602;-0.00929046;0.000728221;
27.3842;-0.00809118;-13.9602;-0.00956165;0.000728064;
28.1838;-0.00832739;-13.9602;-0.00984076;0.000727898;
29.0068;-0.00857049;-13.9602;-0.010128;0.000727722;
29.8538;-0.00882068;-13.9602;-0.0104236;0.000727536;
30.7256;-0.00907817;-13.9602;-0.0107279;0.000727339;
31.6228;-0.00934317;-13.9602;-0.011041;0.000727131;
32.5462;-0.0096159;-13.9602;-0.0113632;0.000726911;
33.4965;-0.00989659;-13.9602;-0.0116949;0.000726678;
34.4747;-0.0101855;-13.9602;-0.0120362;0.000726431;
35.4813;-0.0104828;-13.9602;-0.0123875;0.000726171;
36.5174;-0.0107887;-13.9602;-0.012749;0.000725895;
37.5837;-0.0111036;-13.9602;-0.013121;0.000725603;
38.6812;-0.0114277;-13.9602;-0.0135039;0.000725295;
39.8107;-0.0117612;-13.9602;-0.0138979;0.000724969;
40.9732;-0.0121045;-13.9602;-0.0143034;0.000724624;
42.1697;-0.0124578;-13.9602;-0.0147208;0.00072426;
43.401;-0.0128213;-13.9602;-0.0151503;0.000723875;
44.6684;-0.0131955;-13.9602;-0.0155923;0.000723468;
45.9727;-0.0135805;-13.9602;-0.0160472;0.000723038;
47.3151;-0.0139768;-13.9602;-0.0165153;0.000722584;
48.6968;-0.0143846;-13.9602;-0.016997;0.000722104;
50.1187;-0.0148043;-13.9602;-0.0174928;0.000721597;
51.5822;-0.0152363;-13.9602;-0.018003;0.000721062;
53.0884;-0.0156808;-13.9602;-0.0185281;0.000720496;
54.6387;-0.0161383;-13.9602;-0.0190684;0.0007199;
56.2341;-0.0166091;-13.9602;-0.0196244;0.00071927;
57.8762;-0.0170936;-13.9602;-0.0201967;0.000718605;
59.5662;-0.0175922;-13.9602;-0.0207855;0.000717904;
61.3056;-0.0181053;-13.9602;-0.0213915;0.000717165;
63.0957;-0.0186333;-13.9602;-0.0220151;0.000716385;
64.9382;-0.0191767;-13.9602;-0.0226568;0.000715563;
66.8344;-0.019736;-13.9602;-0.0233171;0.000714697;
68.786;-0.0203114;-13.9602;-0.0239966;0.000713784;
70.7946;-0.0209037;-13.9602;-0.0246959;0.000712822;
72.8618;-0.0215131;-13.9602;-0.0254154;0.00071181;
74.9894;-0.0221403;-13.9602;-0.0261558;0.000710744;
77.1792;-0.0227857;-13.9602;-0.0269177;0.000709622;
79.4328;-0.0234498;-13.9602;-0.0277017;0.000708443;
81.7523;-0.0241333;-13.9602;-0.0285085;0.000707202;
84.1395;-0.0248365;-13.9602;-0.0293386;0.000705898;
86.5964;-0.0255603;-13.9602;-0.0301927;0.000704528;
89.1251;-0.026305;-13.9602;-0.0310716;0.00070309;
91.7276;-0.0270713;-13.9602;-0.0319759;0.000701579;
94.4061;-0.0278599;-13.9602;-0.0329064;0.000699995;
97.1628;-0.0286713;-13.9602;-0.0338638;0.000698334;
100;-0.0295063;-13.9602;-0.0348489;0.000696592;
102.92;-0.0303655;-13.9602;-0.0358625;0.000694768;
105.925;-0.0312496;-13.9602;-0.0369054;0.000692859;
109.018;-0.0321593;-13.9602;-0.0379784;0.000690862;
112.202;-0.0330953;-13.9602;-0.0390823;0.000688773;
115.478;-0.0340585;-13.9602;-0.0402181;0.000686591;
118.85;-0.0350495;-13.9602;-0.0413867;0.000684313;
122.321;-0.0360692;-13.9602;-0.042589;0.000681936;
125.893;-0.0371185;-13.9602;-0.0438259;0.000679458;
129.569;-0.0381981;-13.9602;-0.0450985;0.000676876;
133.352;-0.0393089;-13.9603;-0.0464077;0.000674189;
137.246;-0.0404518;-13.9603;-0.0477546;0.000671395;
141.254;-0.0416277;-13.9603;-0.0491403;0.000668492;
145.378;-0.0428377;-13.9603;-0.0505659;0.000665479;
149.624;-0.0440825;-13.9603;-0.0520324;0.000662354;
153.993;-0.0453634;-13.9603;-0.0535411;0.000659116;
158.489;-0.0466812;-13.9603;-0.0550932;0.000655766;
163.117;-0.0480371;-13.9603;-0.0566899;0.000652301;
167.88;-0.0494321;-13.9603;-0.0583325;0.000648724;
172.783;-0.0508674;-13.9603;-0.0600222;0.000645033;
177.828;-0.0523441;-13.9603;-0.0617605;0.000641231;
183.021;-0.0538635;-13.9603;-0.0635487;0.000637318;
188.365;-0.0554267;-13.9603;-0.0653882;0.000633295;
193.865;-0.0570349;-13.9603;-0.0672805;0.000629166;
199.526;-0.0586896;-13.9603;-0.0692272;0.000624932;
205.353;-0.0603921;-13.9603;-0.0712298;0.000620598;
211.349;-0.0621437;-13.9603;-0.0732899;0.000616165;
217.52;-0.0639458;-13.9603;-0.0754092;0.000611638;
223.872;-0.0658;-13.9603;-0.0775893;0.000607022;
230.409;-0.0677076;-13.9603;-0.0798321;0.000602321;
237.137;-0.0696704;-13.9603;-0.0821393;0.00059754;
244.062;-0.0716899;-13.9603;-0.0845129;0.000592686;
251.189;-0.0737677;-13.9603;-0.0869547;0.000587763;
258.523;-0.0759055;-13.9603;-0.0894668;0.000582779;
266.073;-0.0781052;-13.9603;-0.0920512;0.00057774;
273.842;-0.0803684;-13.9603;-0.09471;0.000572652;
281.838;-0.0826972;-13.9603;-0.0974455;0.000567523;
290.068;-0.0850933;-13.9603;-0.10026;0.00056236;
298.538;-0.0875588;-13.9603;-0.103155;0.00055717;
307.256;-0.0900957;-13.9603;-0.106134;0.00055196;
316.228;-0.0927061;-13.9603;-0.109199;0.000546738;
325.462;-0.0953922;-13.9603;-0.112353;0.000541511;
334.965;-0.0981562;-13.9603;-0.115598;0.000536286;
344.747;-0.101;-13.9603;-0.118937;0.00053107;
354.813;-0.103927;-13.9603;-0.122372;0.000525869;
365.174;-0.106939;-13.9603;-0.125907;0.000520691;
375.837;-0.110038;-13.9603;-0.129545;0.000515542;
386.812;-0.113228;-13.9603;-0.133288;0.000510426;
398.107;-0.11651;-13.9604;-0.13714;0.000505351;
409.732;-0.119887;-13.9604;-0.141103;0.00050032;
421.697;-0.123363;-13.9604;-0.145182;0.000495339;
434.01;-0.12694;-13.9604;-0.14938;0.000490411;
446.684;-0.130622;-13.9604;-0.153699;0.00048554;
459.727;-0.134411;-13.9604;-0.158145;0.00048073;
473.151;-0.13831;-13.9604;-0.16272;0.000475982;
486.968;-0.142323;-13.9604;-0.167428;0.000471299;
501.187;-0.146452;-13.9604;-0.172274;0.000466682;
515.822;-0.150703;-13.9604;-0.177261;0.000462133;
530.884;-0.155077;-13.9604;-0.182394;0.000457651;
546.387;-0.15958;-13.9604;-0.187676;0.000453236;
562.341;-0.164213;-13.9604;-0.193113;0.000448888;
578.762;-0.168982;-13.9604;-0.198708;0.000444605;
595.662;-0.173891;-13.9604;-0.204467;0.000440386;
613.056;-0.178943;-13.9604;-0.210395;0.000436229;
630.957;-0.184142;-13.9604;-0.216495;0.000432131;
649.382;-0.189494;-13.9604;-0.222774;0.000428088;
668.344;-0.195001;-13.9604;-0.229237;0.000424097;
687.86;-0.20067;-13.9604;-0.235889;0.000420154;
707.946;-0.206505;-13.9604;-0.242735;0.000416254;
728.618;-0.21251;-13.9604;-0.249782;0.000412393;
749.894;-0.218691;-13.9604;-0.257035;0.000408564;
771.792;-0.225053;-13.9604;-0.2645;0.000404762;
794.328;-0.231601;-13.9604;-0.272184;0.000400982;
817.523;-0.23834;-13.9604;-0.280092;0.000397215;
841.395;-0.245277;-13.9604;-0.288232;0.000393456;
865.964;-0.252416;-13.9604;-0.296611;0.000389696;
891.251;-0.259764;-13.9604;-0.305234;0.000385929;
917.276;-0.267327;-13.9604;-0.31411;0.000382145;
944.061;-0.275111;-13.9604;-0.323246;0.000378336;
971.628;-0.283123;-13.9604;-0.332649;0.000374494;
1000;-0.291369;-13.9604;-0.342327;0.000370609;
1029.2;-0.299857;-13.9604;-0.352288;0.00036667;
1059.25;-0.308592;-13.9604;-0.362541;0.000362669;
1090.18;-0.317583;-13.9604;-0.373094;0.000358593;
1122.02;-0.326837;-13.9604;-0.383956;0.000354433;
1154.78;-0.336362;-13.9604;-0.395136;0.000350176;
1188.5;-0.346165;-13.9604;-0.406642;0.00034581;
1223.21;-0.356255;-13.9604;-0.418486;0.000341323;
1258.93;-0.366639;-13.9604;-0.430675;0.000336701;
1295.69;-0.377328;-13.9604;-0.443222;0.00033193;
1333.52;-0.388329;-13.9604;-0.456135;0.000326996;
1372.46;-0.399651;-13.9604;-0.469426;0.000321884;
1412.54;-0.411305;-13.9604;-0.483106;0.000316578;
1453.78;-0.423299;-13.9604;-0.497186;0.000311062;
1496.24;-0.435644;-13.9604;-0.511678;0.000305318;
1539.93;-0.44835;-13.9604;-0.526593;0.000299327;
1584.89;-0.461427;-13.9604;-0.541945;0.000293071;
1631.17;-0.474886;-13.9604;-0.557745;0.00028653;
1678.8;-0.488739;-13.9604;-0.574008;0.000279682;
1727.83;-0.502996;-13.9604;-0.590746;0.000272506;
1778.28;-0.51767;-13.9604;-0.607973;0.000264978;
1830.21;-0.532773;-13.9604;-0.625704;0.000257074;
1883.65;-0.548318;-13.9605;-0.643953;0.000248767;
1938.65;-0.564316;-13.9605;-0.662736;0.000240031;
1995.26;-0.580782;-13.9605;-0.682067;0.000230837;
2053.53;-0.59773;-13.9605;-0.701964;0.000221156;
2113.49;-0.615172;-13.9605;-0.722442;0.000210954;
2175.2;-0.633124;-13.9605;-0.743518;0.000200198;
