frequency,V(/Sc1-) (phase),V(/Sc1-) (gain),V(/Sc2-) (phase),V(/Sc2-) (gain),Column1,,,,
0.375837,-0.000111062,-0.000697823,-0.000131253,0.000730891,-0.001856617,,2.361453516,-1.9384E-06,-8.20805E-07
0.386812,-0.000114305,-0.000718199,-0.000135085,0.000730891,-0.001856863,,2.430411475,-1.995E-06,-8.20914E-07
0.398107,-0.000117643,-0.000739173,-0.00013903,0.000730891,-0.00185658,,2.501380053,-2.05326E-06,-8.20789E-07
0.409732,-0.000121078,-0.000760756,-0.00014309,0.000730891,-0.001856861,,2.574422082,-2.11321E-06,-8.20913E-07
0.421697,-0.000124614,-0.000782973,-0.000147268,0.000730891,-0.00185643,,2.649600394,-2.17492E-06,-8.20722E-07
0.43401,-0.000128252,-0.000805831,-0.000151568,0.00073089,-0.001857094,,2.726965255,-2.23842E-06,-8.21016E-07
0.446684,-0.000131998,-0.000829368,-0.000155994,0.00073089,-0.001856582,,2.806598346,-2.3038E-06,-8.20789E-07
0.459727,-0.000135852,-0.000853583,-0.000160549,0.00073089,-0.001856779,,2.888549932,-2.37106E-06,-8.20876E-07
0.473151,-0.000139819,-0.000878509,-0.000165238,0.00073089,-0.001856716,,2.972895411,-2.4403E-06,-8.20849E-07
0.486968,-0.000143902,-0.000904163,-0.000170063,0.00073089,-0.001856807,,3.059710183,-2.51156E-06,-8.20889E-07
0.501187,-0.000148104,-0.000930565,-0.000175028,0.00073089,-0.001856405,,3.149050795,-2.5849E-06,-8.20711E-07
0.515822,-0.000152428,-0.000957733,-0.000180139,0.00073089,-0.001856756,,3.241005212,-2.66037E-06,-8.20866E-07
0.530884,-0.000156879,-0.0009857,-0.0001854,0.00073089,-0.001856626,,3.335642549,-2.73806E-06,-8.20809E-07
0.546387,-0.00016146,-0.001014483,-0.000190813,0.00073089,-0.001856915,,3.43305077,-2.81801E-06,-8.20937E-07
0.562341,-0.000166175,-0.001044108,-0.000196385,0.00073089,-0.001856526,,3.533292709,-2.9003E-06,-8.20765E-07
0.578762,-0.000171027,-0.001074594,-0.00020212,0.00073089,-0.0018567,,3.636468895,-2.98498E-06,-8.20842E-07
0.595662,-0.000176021,-0.001105973,-0.000208022,0.00073089,-0.001856708,,3.742654726,-3.07215E-06,-8.20845E-07
0.613056,-0.000181161,-0.001138268,-0.000214096,0.00073089,-0.001856771,,3.851944452,-3.16186E-06,-8.20873E-07
0.630957,-0.000186451,-0.001171506,-0.000220348,0.00073089,-0.001856822,,3.964419752,-3.25418E-06,-8.20896E-07
0.649382,-0.000191896,-0.001205718,-0.000226782,0.00073089,-0.001856591,,4.080187441,-3.34922E-06,-8.20794E-07
0.668344,-0.000197499,-0.001240923,-0.000233404,0.00073089,-0.001856688,,4.199329201,-3.44701E-06,-8.20836E-07
0.68786,-0.000203266,-0.001277158,-0.00024022,0.000730889,-0.001856865,,4.321951845,-3.54766E-06,-8.20915E-07
0.707946,-0.000209202,-0.001314455,-0.000247234,0.000730889,-0.00185681,,4.448155905,-3.65126E-06,-8.2089E-07
0.728618,-0.000215311,-0.001352839,-0.000254454,0.000730889,-0.001856664,,4.578041912,-3.75789E-06,-8.20826E-07
0.749894,-0.000221598,-0.001392341,-0.000261884,0.000730889,-0.001856722,,4.711722963,-3.86761E-06,-8.20851E-07
0.771792,-0.000228069,-0.001433,-0.000269531,0.000730889,-0.001856573,,4.849312155,-3.98055E-06,-8.20786E-07
0.794328,-0.000234728,-0.00147484,-0.000277401,0.000730889,-0.001856919,,4.990910019,-4.09678E-06,-8.20938E-07
0.817523,-0.000241583,-0.001517911,-0.000285502,0.000730889,-0.001856635,,5.136648502,-4.21642E-06,-8.20813E-07
0.841395,-0.000248637,-0.001562232,-0.000293838,0.000730889,-0.001856646,,5.286640702,-4.33953E-06,-8.20818E-07
0.865964,-0.000255897,-0.001607848,-0.000302419,0.000730888,-0.001856853,,5.441012281,-4.46625E-06,-8.20909E-07
0.891251,-0.00026337,-0.001654803,-0.000311249,0.000730888,-0.001856588,,5.599895188,-4.59667E-06,-8.20792E-07
0.917276,-0.00027106,-0.00170312,-0.000320338,0.000730888,-0.001856689,,5.763415086,-4.73089E-06,-8.20837E-07
0.944061,-0.000278975,-0.001752852,-0.000329692,0.000730888,-0.00185667,,5.931710204,-4.86903E-06,-8.20828E-07
0.971628,-0.000287121,-0.001804034,-0.000339319,0.000730888,-0.001856919,,6.104918774,-5.01121E-06,-8.20938E-07
1,-0.000295506,-0.001856719,-0.000349228,0.000730887,-0.001856552,,6.283185307,-5.15755E-06,-8.20776E-07
1.0292,-0.000304134,-0.00191093,-0.000359425,0.000730887,-0.001856937,,6.466654318,-5.30814E-06,-8.20947E-07
1.05925,-0.000313015,-0.001966731,-0.000369921,0.000730887,-0.001856922,,6.655464037,-5.46314E-06,-8.2094E-07
1.09018,-0.000322156,-0.002024166,-0.000380723,0.000730887,-0.001856342,,6.849802958,-5.62268E-06,-8.20683E-07
1.12202,-0.000331563,-0.002083272,-0.00039184,0.000730886,-0.001856762,,7.049859578,-5.78687E-06,-8.20869E-07
1.15478,-0.000341244,-0.002144099,-0.000403282,0.000730886,-0.001856819,,7.255696729,-5.95583E-06,-8.20894E-07
1.1885,-0.000351209,-0.002206711,-0.000415058,0.000730886,-0.001856355,,7.467565738,-6.12975E-06,-8.20689E-07
1.22321,-0.000361464,-0.002271145,-0.000427178,0.000730886,-0.001856636,,7.6856551,-6.30874E-06,-8.20813E-07
1.25893,-0.000372019,-0.002337464,-0.000439652,0.000730885,-0.001856924,,7.910090479,-6.49296E-06,-8.20941E-07
1.29569,-0.000382883,-0.002405725,-0.00045249,0.000730885,-0.001856886,,8.141060371,-6.68257E-06,-8.20924E-07
1.33352,-0.000394063,-0.002475971,-0.000465702,0.000730884,-0.001856718,,8.378753271,-6.8777E-06,-8.2085E-07
1.37246,-0.00040557,-0.002548271,-0.000479301,0.000730884,-0.001856581,,8.623420507,-7.07853E-06,-8.20789E-07
1.41254,-0.000417413,-0.002622683,-0.000493297,0.000730884,-0.001856922,,8.875250574,-7.28523E-06,-8.2094E-07
1.45378,-0.000429601,-0.002699263,-0.000507702,0.000730883,-0.001856396,,9.134369136,-7.49795E-06,-8.20707E-07
1.49624,-0.000442146,-0.002778085,-0.000522527,0.000730883,-0.001856768,,9.401153184,-7.7169E-06,-8.20872E-07
1.53993,-0.000455057,-0.002859207,-0.000537785,0.000730882,-0.001857005,,9.67566555,-7.94224E-06,-8.20977E-07
1.58489,-0.000468345,-0.002942698,-0.000553488,0.000730882,-0.001856717,,9.958157561,-8.17416E-06,-8.20849E-07
1.63117,-0.000482021,-0.003028627,-0.00056965,0.000730881,-0.001856725,,10.24894338,-8.41285E-06,-8.20853E-07
1.6788,-0.000496096,-0.003117063,-0.000586285,0.00073088,-0.001856378,,10.54821149,-8.65851E-06,-8.20699E-07
1.72783,-0.000510582,-0.003208081,-0.000603404,0.00073088,-0.001856809,,10.85627607,-8.91134E-06,-8.2089E-07
1.77828,-0.000525491,-0.003301757,-0.000621024,0.000730879,-0.001856643,,11.17326277,-9.17155E-06,-8.20816E-07
1.83021,-0.000540836,-0.003398173,-0.000639158,0.000730878,-0.001856855,,11.49954858,-9.43937E-06,-8.2091E-07
1.88365,-0.000556629,-0.003497403,-0.000657822,0.000730878,-0.001856738,,11.835322,-9.71501E-06,-8.20859E-07
1.93865,-0.000572882,-0.003599524,-0.000677031,0.000730877,-0.001856764,,12.1808972,-9.99868E-06,-8.2087E-07
1.99526,-0.000589611,-0.003704635,-0.0006968,0.000730876,-0.001856489,,12.53658832,-1.02907E-05,-8.20748E-07
2.05353,-0.000606828,-0.003812813,-0.000717147,0.000730875,-0.001856767,,12.90270952,-1.05911E-05,-8.20871E-07
2.11349,-0.000624547,-0.003924145,-0.000738088,0.000730874,-0.001856854,,13.27944931,-1.09004E-05,-8.2091E-07
